uri,title,identifier,external_id,record_type,note_with_search_term,note_type
/repositories/2/resources/19,Constance Stuart Larrabee collection,COR.0002.MS,['1590'],['resource'],"15983737

unprocessed holdings: 18269903",odd
/repositories/2/archival_objects/332076,"Loose material in front of binder, 02/01/1928",,['36235'],['archival_object'],"Plat showing holdings of GWU - Square 102 (Between G and H and 20th and 21st Streets), and adjacent buildings

",odd
/repositories/2/archival_objects/297607,"Plat map showing holdings of GW: Square 102, 02/01/1928",,['16408'],['archival_object'],"Framed plat map showing holdings of GW: Square 102 (between G and H streets and 20th and 21st streets, N.W.), and adjacent buildings, Feb. 1, 1928

Formerly Acc#927 

",odd
/repositories/2/archival_objects/181369,"General Ledger, 1882-1885",,['129527'],['archival_object'],"This ledger includes cash and commission accounts as well as special accounts, including holdings of bonds. Note the lettering in the headings. Identified as National Bank of Washington on basis of cover and existence of general ledger for Riggs &amp; Co. for this year.

",scopecontent
/repositories/2/archival_objects/182354,"Trust, 1892-1952",,['128256'],['archival_object'],"Consists of Washington Loan and Trust trust department account ledgers and paper files, estate files, a trust department real estate holdings ledger, and trust department and committee minutes.

",scopecontent
/repositories/2/archival_objects/287918,"Financial records, 1982-1990",,['158367'],['archival_object'],"This series contains records related to the Burns Clinic expansion, Square 250 leases/construction, 1925 F Street, 2000 Penn. Avenue taxes, and other real estate holdings. These records cover the dates 1982-90.

Formerly ACC#566.

",scopecontent
/repositories/2/archival_objects/337926,"Television News Study Center and projects, 1975 ca.-1987",,['172899'],['archival_object'],"This series contains guides, memorandums, news articles, news releases, an invitation, correspondence, and brochures. The materials range in date from approximately 1975 to 1987. They cover the holdings of the Media Resources Department, transcription projects, and the Television News Study Center. Formerly vertical files

",scopecontent
/repositories/2/archival_objects/132225,"Larry King show, 1970-ca. 1990",,['198472'],['archival_object'],10 unprocessed boxes were moved from the Larry King series to the Jim Bohanan series. This was after the existing Larry King tapes were moved and what was left in the boxes were either Jim Bohanan content or unidentified. These boxes were added to holdings 4808203 as UP boxes. The original numberes were retained.,processinfo
/repositories/2/resources/683,Mount Vernon Seminary and College,RG0135,['529'],['resource'],"This is the bib for all materials that are not assignable to an existing bib.  (this one was listed, but appears to be unrelated to MVC 3052369  jek 4/19/2012)

The bib to use for the mount vernon boxes coming from the basement of Webb Hall is 11222309  (some may be at this bib 9426641 it is a bit confusing right now)  Some of the boxes from the Webb Hall basement are attached to specific Mount Vernon collections (MVC0031, MVC0047 etc.). There is a paper record with the duplicate barcodes.

Added to this bib and holdings is the 15 boxes from donation 2015.015. But was put in a separate holdings to retain the box numbering that came with the donation since that is needed for the box lists provided by Nancy Muse. That is holdings # 16468284",odd
/repositories/2/archival_objects/132167,"Jim Bohannon show, 1993-2000",,['198452'],['archival_object'],10 unprocessed boxes were moved from the Larry King series to the Jim Bohanan series. This was after the existing Larry King tapes were moved and what was left in the boxes were either Jim Bohanan content or unidentified. These boxes were added to holdings 4808203 as UP boxes. The original numberes were retained.,scopecontent
